,a_score,a_tid,away_percentage,h_score,h_tid,home_percentage,round,season,win_tid,home_last_season_percentage,away_last_season_percentage,home_team_win
1,58,106,1.03653846154,117,111,0.901861252115,R07,2006,111,0.958075904678,1.0014720314,1
2,180,116,1.00555555556,62,114,0.773006134969,R07,2006,116,0.923287671233,1.16391509434,0
3,98,104,1.41188118812,112,117,1.30901287554,R07,2006,117,1.23958333333,0.776907216495,1
4,106,102,0.693597560976,66,110,1.09842519685,R07,2006,102,0.821752265861,0.988447319778,0
5,166,118,1.14928057554,90,113,0.798179059181,R07,2006,118,0.98160696999,1.01446193109,0
6,78,105,0.962521294719,111,103,0.806506849315,R07,2006,103,0.755056179775,0.920069504778,1
7,116,101,1.4060324826,60,112,0.827371695179,R07,2006,101,0.992266795553,1.36453526697,0
0,136,111,1.00154083205,61,110,1.01628664495,R08,2006,111,0.821752265861,0.958075904678,0
1,49,112,0.779973649539,84,106,0.937205651491,R08,2006,106,1.0014720314,0.992266795553,1
2,66,101,1.47046843177,69,114,0.680288461538,R08,2006,114,0.923287671233,1.36453526697,1
3,116,116,1.20099667774,90,118,1.24613003096,R08,2006,116,1.01446193109,1.16391509434,0
4,44,107,1.14716312057,146,104,1.31442463533,R08,2006,104,0.776907216495,1.11962224554,1
5,147,102,0.777008310249,78,113,0.746666666667,R08,2006,102,0.98160696999,0.988447319778,0
6,113,117,1.28014184397,92,105,0.921203438395,R08,2006,117,0.920069504778,1.23958333333,0
7,126,115,1.03365384615,34,103,0.87915407855,R08,2006,115,0.755056179775,1.33277962348,0
0,105,118,1.17454068241,139,104,1.44780635401,R09,2006,104,0.776907216495,1.01446193109,1
1,110,114,0.707126948775,90,107,0.97323943662,R09,2006,114,1.11962224554,0.923287671233,0
2,60,103,0.781725888325,124,101,1.40714285714,R09,2006,101,1.36453526697,0.755056179775,1
3,119,116,1.21242774566,54,110,0.913333333333,R09,2006,116,0.821752265861,1.16391509434,0
4,129,113,0.713991769547,69,105,0.906288532676,R09,2006,113,0.920069504778,0.98160696999,0
5,73,106,0.992711370262,141,102,0.885,R09,2006,102,0.988447319778,1.0014720314,1
6,57,112,0.760379596679,74,115,1.1717325228,R09,2006,115,1.33277962348,0.992266795553,1
7,75,111,1.10704225352,97,117,1.27286585366,R09,2006,117,1.23958333333,0.958075904678,1
0,50,105,0.855319148936,188,101,1.47096774194,R10,2006,101,1.36453526697,0.920069504778,1
1,101,117,1.27496580027,98,107,0.95243902439,R10,2006,117,1.11962224554,1.23958333333,0
2,88,110,0.850402761795,109,118,1.10987791343,R10,2006,118,1.01446193109,0.821752265861,1
3,89,114,0.754048582996,100,106,0.911729141475,R10,2006,106,1.0014720314,0.923287671233,1
4,83,102,0.972508591065,109,104,1.43080939948,R10,2006,104,0.776907216495,0.988447319778,1
5,105,116,1.28418230563,98,112,0.761177753544,R10,2006,116,0.992266795553,1.16391509434,0
6,90,115,1.18181818182,103,111,1.06691449814,R10,2006,111,0.958075904678,1.33277962348,1
7,118,113,0.790585975024,84,103,0.741228070175,R10,2006,113,0.755056179775,0.98160696999,0
0,88,105,0.757092198582,130,107,0.954397394137,R11,2006,107,1.11962224554,0.920069504778,1
1,67,112,0.778864970646,102,114,0.766544117647,R11,2006,114,0.923287671233,0.992266795553,1
2,75,101,1.64179104478,60,102,0.949083503055,R11,2006,101,0.988447319778,1.36453526697,0
3,52,115,1.14303178484,50,116,1.25947867299,R11,2006,115,1.16391509434,1.33277962348,0
4,49,110,0.845603271984,145,113,0.836444444444,R11,2006,113,0.98160696999,0.821752265861,1
5,86,106,0.93231441048,100,118,1.1213346815,R11,2006,118,1.01446193109,1.0014720314,1
6,101,103,0.73786407767,111,117,1.24607961399,R11,2006,117,1.23958333333,0.755056179775,1
7,94,104,1.41931684335,141,111,1.07469342252,R11,2006,111,0.958075904678,0.776907216495,1
0,123,101,1.6095890411,60,115,1.13709677419,R12,2006,101,1.33277962348,1.36453526697,0
1,118,107,1.0,52,106,0.925196850394,R12,2006,107,1.0014720314,1.11962224554,0
2,60,117,1.23010752688,97,113,0.925042589438,R12,2006,113,0.98160696999,1.23958333333,1
3,145,118,1.12465116279,103,102,0.938505203406,R12,2006,118,0.988447319778,1.01446193109,0
4,64,114,0.81038961039,105,110,0.780053428317,R12,2006,110,0.821752265861,0.923287671233,1
5,111,111,1.11503531786,75,105,0.748807631161,R12,2006,111,0.920069504778,0.958075904678,0
6,102,103,0.754601226994,121,112,0.767793594306,R12,2006,112,0.992266795553,0.755056179775,1
7,95,104,1.31212121212,82,116,1.2421875,R12,2006,104,1.16391509434,0.776907216495,0
0,89,105,0.742878013148,96,112,0.802610114192,R13,2006,112,0.992266795553,0.920069504778,1
1,55,110,0.826453243471,125,115,1.05650857719,R13,2006,115,1.33277962348,0.821752265861,1
2,82,113,0.958670988655,120,111,1.14071294559,R13,2006,111,0.958075904678,0.98160696999,1
3,58,106,0.874779541446,91,116,1.20585267407,R13,2006,116,1.16391509434,1.0014720314,1
