,a_score,a_tid,away_percentage,h_score,h_tid,home_percentage,margin,round,season,win_tid,home_last_season_percentage,away_last_season_percentage,home_team_win
217,94,116,1.18681318681,120,115,0.762798634812,26,R06,2001,115,0.705055112125,1.01577287066,1
218,119,111,0.936633663366,74,106,0.806451612903,45,R06,2001,111,0.720397249809,1.18434460398,0
219,86,118,0.980902777778,129,113,1.29916317992,43,R06,2001,113,0.840087145969,1.03569834895,1
220,61,107,1.01956521739,116,102,1.0523364486,55,R06,2001,102,1.17101710171,0.968777103209,1
221,70,117,0.85086042065,158,105,1.39172749392,88,R06,2001,105,1.59096045198,0.923718215923,1
222,91,101,0.804081632653,104,110,1.3094629156,13,R06,2001,110,0.976454908929,0.960801022582,1
223,95,103,1.03516483516,103,104,1.13995485327,8,R06,2001,104,0.859317153435,1.34765032845,1
224,107,118,0.923404255319,77,111,1.02245250432,30,R07,2001,118,1.18434460398,1.03569834895,0
225,120,105,1.51767151767,74,114,1.22011385199,46,R07,2001,105,0.931112111661,1.59096045198,0
226,110,110,1.27800829876,99,115,0.833823529412,11,R07,2001,110,0.705055112125,0.976454908929,0
227,83,106,0.775423728814,103,101,0.816498316498,20,R07,2001,101,0.960801022582,0.720397249809,1
228,99,112,0.593703148426,97,104,1.13011152416,2,R07,2001,112,0.859317153435,1.06206597222,0
229,108,103,1.01433691756,68,107,0.920138888889,40,R07,2001,103,0.968777103209,1.34765032845,0
230,112,102,1.13926174497,80,116,1.10260869565,32,R07,2001,102,1.01577287066,1.17101710171,0
231,121,113,1.32978723404,50,117,0.75624082232,71,R07,2001,113,0.923718215923,0.840087145969,0
232,120,101,0.868537666174,92,114,1.10819165379,28,R08,2001,101,0.931112111661,0.960801022582,0
233,89,115,0.843037974684,138,112,0.647905759162,49,R08,2001,112,1.06206597222,0.705055112125,1
234,58,117,0.704488778055,138,110,1.2495697074,80,R08,2001,110,0.976454908929,0.923718215923,1
235,68,102,1.1701183432,142,103,1.07667731629,74,R08,2001,103,1.34765032845,1.17101710171,1
236,119,104,1.10675039246,110,113,1.41856677524,9,R08,2001,104,0.840087145969,0.859317153435,0
237,85,105,1.53153153153,79,111,0.975218658892,6,R08,2001,105,1.18434460398,1.59096045198,0
238,101,116,1.03930131004,122,118,0.969309462916,21,R08,2001,118,1.03569834895,1.01577287066,1
239,95,107,0.874269005848,73,106,0.779284833539,22,R08,2001,107,0.720397249809,0.968777103209,0
240,82,103,1.1757925072,69,112,0.742086752638,13,R09,2001,103,1.06206597222,1.34765032845,0
241,80,115,0.813577586207,98,104,1.1030789826,18,R09,2001,104,0.859317153435,0.705055112125,1
242,125,118,0.996602491506,77,117,0.662765957447,48,R09,2001,118,0.923718215923,1.03569834895,0
243,127,101,0.920676202861,122,102,1.05012224939,5,R09,2001,101,1.17101710171,0.960801022582,0
244,57,110,1.35211267606,122,105,1.47476340694,65,R09,2001,105,1.59096045198,0.976454908929,1
245,68,111,0.970168612192,88,113,1.33833560709,20,R09,2001,113,0.840087145969,1.18434460398,1
246,65,106,0.778145695364,84,116,1.00741656366,19,R09,2001,116,1.01577287066,0.720397249809,1
247,76,114,1.05475880052,118,107,0.915455746367,42,R09,2001,107,0.968777103209,0.931112111661,1
248,125,112,0.750802139037,79,118,1.046875,46,R10,2001,112,1.03569834895,1.06206597222,0
249,30,117,0.657276995305,149,103,1.17693315858,119,R10,2001,103,1.34765032845,0.923718215923,1
250,116,113,1.33458177278,73,110,1.21024967148,43,R10,2001,113,0.976454908929,0.840087145969,0
251,144,111,0.949941792782,113,115,0.813840155945,31,R10,2001,111,0.705055112125,1.18434460398,0
252,74,105,1.52966714906,102,102,1.0380952381,28,R10,2001,102,1.17101710171,1.59096045198,1
253,55,107,0.973589435774,66,101,0.937149270483,11,R10,2001,101,0.960801022582,0.968777103209,1
254,73,116,1.02860411899,55,104,1.11487303507,18,R10,2001,116,0.859317153435,1.01577287066,0
255,84,114,1.0,46,106,0.777777777778,38,R10,2001,114,0.720397249809,0.931112111661,0
256,128,105,1.4262295082,86,115,0.810256410256,42,R11,2001,105,0.705055112125,1.59096045198,0
257,90,110,1.13340935006,93,107,0.963292547275,3,R11,2001,107,0.968777103209,0.976454908929,1
258,84,102,1.06280667321,62,117,0.601317957166,22,R11,2001,102,0.923718215923,1.17101710171,0
259,127,118,0.999078341014,97,101,0.952431289641,30,R11,2001,118,0.960801022582,1.03569834895,0
260,68,106,0.759776536313,154,112,0.815581854043,86,R11,2001,112,1.06206597222,0.720397249809,1
261,61,103,1.32030264817,88,114,1.04081632653,27,R11,2001,114,0.931112111661,1.34765032845,1
262,78,113,1.35583524027,125,116,1.04628632939,47,R11,2001,116,1.01577287066,0.840087145969,1
263,134,104,1.08555555556,57,111,0.987654320988,77,R11,2001,104,1.18434460398,0.859317153435,0
264,73,101,0.930102516309,122,105,1.43230944255,49,R12,2001,105,1.59096045198,0.960801022582,1
265,94,118,1.02453468697,87,107,0.969666329626,7,R12,2001,118,0.968777103209,1.03569834895,0
266,90,115,0.796610169492,80,106,0.71986970684,10,R12,2001,115,0.720397249809,0.705055112125,0
267,148,102,1.0795559667,99,111,0.919529837251,49,R12,2001,102,1.18434460398,1.17101710171,0
268,92,117,0.610169491525,173,104,1.16091954023,81,R12,2001,104,0.859317153435,0.923718215923,1
269,98,112,0.906654343808,101,110,1.1175257732,3,R12,2001,110,0.976454908929,1.06206597222,1
270,60,116,1.08937437934,86,114,1.06552419355,26,R12,2001,114,0.931112111661,1.01577287066,1
271,104,103,1.25766174801,70,113,1.26426426426,34,R12,2001,103,0.840087145969,1.34765032845,0
272,53,110,1.1095505618,140,102,1.11440677966,87,R13,2001,102,1.17101710171,0.976454908929,1
273,73,113,1.20852221215,95,112,0.912087912088,22,R13,2001,112,1.06206597222,0.840087145969,1
274,72,106,0.731411229135,118,105,1.4506302521,46,R13,2001,105,1.59096045198,0.720397249809,1
275,92,118,1.02836879433,153,103,1.27444794953,61,R13,2001,103,1.34765032845,1.03569834895,1
276,99,104,1.22402287893,97,101,0.896234309623,2,R13,2001,104,0.960801022582,0.859317153435,0
277,88,111,0.88995215311,95,117,0.600951733515,7,R13,2001,117,0.923718215923,1.18434460398,1
278,84,107,0.965835641736,65,116,1.05855443733,19,R13,2001,107,1.01577287066,0.968777103209,0
279,126,114,1.08650190114,87,115,0.815674891147,39,R13,2001,114,0.705055112125,0.931112111661,0
280,154,105,1.4638671875,76,118,0.982419127989,78,R14,2001,105,1.03569834895,1.59096045198,0
281,129,110,1.02483443709,71,114,1.11413520632,58,R14,2001,110,0.931112111661,0.976454908929,0
282,51,117,0.627966645285,64,101,0.902627511592,13,R14,2001,101,0.960801022582,0.923718215923,1
283,62,115,0.805186170213,119,102,1.1800486618,57,R14,2001,102,1.17101710171,0.705055112125,1
284,163,113,1.17362270451,71,106,0.721448467967,92,R14,2001,113,0.720397249809,0.840087145969,0
285,121,112,0.934713375796,93,111,0.892512972572,28,R14,2001,112,1.18434460398,1.06206597222,0
286,81,103,1.30872483221,91,116,1.03823279524,10,R14,2001,116,1.01577287066,1.34765032845,1
287,93,104,1.20680628272,111,107,0.984320557491,18,R14,2001,107,0.968777103209,0.859317153435,1
288,156,101,0.915985130112,59,115,0.784349969193,97,R15,2001,101,0.705055112125,0.960801022582,0
289,117,111,0.88231292517,111,103,1.27513227513,6,R15,2001,111,1.34765032845,1.18434460398,0
290,85,106,0.692307692308,119,118,0.934644670051,34,R15,2001,118,1.03569834895,0.720397249809,1
291,98,116,1.04372019078,77,110,1.06880375293,21,R15,2001,116,0.976454908929,1.01577287066,0
292,52,114,1.05678233438,96,113,1.23640661939,44,R15,2001,113,0.840087145969,0.931112111661,1
293,154,112,0.959970348406,110,117,0.634627233518,44,R15,2001,112,0.923718215923,1.06206597222,0
294,129,102,1.21544401544,103,104,1.17422434368,26,R15,2001,102,0.859317153435,1.17101710171,0
295,112,107,1.0,127,105,1.50272727273,15,R15,2001,105,1.59096045198,0.968777103209,1
296,86,111,0.894370651486,127,114,1.02052785924,41,R16,2001,114,0.931112111661,1.18434460398,1
297,56,106,0.693830034924,131,103,1.24460431655,75,R16,2001,103,1.34765032845,0.720397249809,1
