mid,season,round,tid1,tid2,tid1_loc,tid2_loc,start_dt,venue,att,margin,win_score,win_tid,win_loc,lose_score,lose_loc,lose_tid,h_tid,h_score,h_q1g,h_q2g,h_q3g,h_q4g,h_etg,h_q1b,h_q2b,h_q3b,h_q4b,h_etb,a_tid,a_score,a_q1g,a_q2g,a_q3g,a_q4g,a_etg,a_q1b,a_q2b,a_q3b,a_q4b,a_etb
2008_SF_116_118,2008,SF,116,118,a,h,2008-09-12 19:50,M.C.G.,42731,37,106,118,h,69,a,116,118,106,2,6,11,16,0,3,5,9,10,0,116,69,2,5,5,9,0,4,7,13,15,0
2008_SF_104_115,2008,SF,104,115,a,h,2008-09-13 19:30,M.C.G.,76707,34,106,115,h,72,a,104,115,106,4,8,14,17,0,1,1,2,4,0,104,72,3,4,5,9,0,4,11,16,18,0
2008_PF_107_118,2008,PF,107,118,h,a,2008-09-19 19:40,M.C.G.,70140,29,83,107,h,54,a,118,107,83,5,8,10,12,0,3,8,9,11,0,118,54,4,5,7,7,0,3,5,9,12,0
2008_PF_110_115,2008,PF,110,115,h,a,2008-09-20 19:00,M.C.G.,77002,54,118,110,h,64,a,115,110,118,4,11,15,18,0,4,5,8,10,0,115,64,2,3,7,9,0,3,6,7,10,0
2008_GF_107_110,2008,GF,107,110,a,h,2008-09-27 14:30,M.C.G.,100012,26,115,110,h,89,a,107,110,115,5,8,14,18,0,2,3,5,7,0,107,89,5,6,9,11,0,3,12,18,23,0
2009_EF_101_105,2009,EF,101,105,h,a,2009-09-04 19:45,Football Park,50393,96,166,101,h,70,a,105,101,166,4,12,18,26,0,3,4,9,10,0,105,70,3,5,8,10,0,3,7,8,10,0
2009_QF_107_118,2009,QF,107,118,h,a,2009-09-05 14:30,M.C.G.,74007,14,96,107,h,82,a,118,107,96,6,7,13,14,0,5,5,9,12,0,118,82,2,4,8,12,0,1,3,4,10,0
2009_EF_102_103,2009,EF,102,103,h,a,2009-09-05 19:30,Gabba,32702,7,111,102,h,104,a,103,102,111,4,8,10,16,0,4,7,10,15,0,103,104,5,8,14,15,0,4,6,10,14,0
2009_QF_104_115,2009,QF,104,115,a,h,2009-09-06 14:40,M.C.G.,84213,28,80,115,h,52,a,104,115,80,1,6,9,12,0,2,4,7,8,0,104,52,2,4,6,7,0,4,6,8,10,0
2009_SF_102_118,2009,SF,102,118,a,h,2009-09-11 19:45,M.C.G.,47030,51,107,118,h,56,a,102,118,107,4,6,11,16,0,2,6,8,11,0,102,56,0,3,5,8,0,6,7,7,8,0
